Key,MonthlyVariation,ThreeMonthVariation,SixMonthVariation,TwelveMonthVariation,YearVariation
2010-1,0.75,1.54,2.22,4.59,0.75
2010-2,0.78,1.91,2.86,4.83,1.54
2010-3,0.52,2.06,3.15,5.17,2.06
2010-4,0.57,1.88,3.45,5.26,2.65
2010-5,0.43,1.53,3.47,5.22,3.09
2010-6,0,1,3.09,4.84,3.09
2010-7,0.01,0.44,2.33,4.6,3.1
2010-8,0.04,0.05,1.58,4.49,3.14
2010-9,0.45,0.5,1.51,4.7,3.6
2010-10,0.75,1.24,1.69,5.2,4.38
2010-11,0.83,2.04,2.09,5.63,5.25
2010-12,0.63,2.23,2.74,5.91,5.91
2011-1,0.83,2.31,3.58,5.99,0.83
2011-2,0.8,2.28,4.37,6.01,1.64
2011-3,0.79,2.44,4.72,6.3,2.44
2011-4,0.77,2.38,4.74,6.51,3.23
2011-5,0.47,2.04,4.37,6.55,3.71
2011-6,0.15,1.4,3.87,6.71,3.87
2011-7,0.16,0.78,3.18,6.87,4.04
2011-8,0.37,0.68,2.74,7.23,4.42
2011-9,0.53,1.06,2.47,7.31,4.97
2011-10,0.43,1.34,2.13,6.97,5.43
2011-11,0.52,1.49,2.18,6.64,5.97
2011-12,0.5,1.46,2.54,6.5,6.5
2012-1,0.56,1.59,2.95,6.22,0.56
2012-2,0.45,1.52,3.03,5.85,1.01
2012-3,0.21,1.22,2.7,5.24,1.22
2012-4,0.64,1.31,2.91,5.1,1.87
2012-5,0.36,1.21,2.75,4.99,2.24
2012-6,0.08,1.08,2.32,4.92,2.32
2012-7,0.43,0.87,2.19,5.2,2.76
2012-8,0.41,0.92,2.15,5.24,3.18
2012-9,0.57,1.42,2.51,5.28,3.77
2012-10,0.59,1.58,2.46,5.45,4.38
2012-11,0.6,1.77,2.71,5.53,5.01
2012-12,0.79,1.99,3.44,5.84,5.84
2013-1,0.86,2.27,3.88,6.15,0.86
2013-2,0.6,2.27,4.08,6.31,1.47
2013-3,0.47,1.94,3.97,6.59,1.94
2013-4,0.55,1.63,3.93,6.49,2.5
2013-5,0.37,1.4,3.69,6.5,2.88
2013-6,0.26,1.18,3.15,6.7,3.15
